source (en),translation (zh_CN)
47 Tuc,杜鹃座47球状星团
Polarissima Cluster,近极星团
Sailboat Cluster,帆船星团
Broken Heart Cluster,碎心星团
Dragonfly Cluster,蜻蜓星团
Owl Cluster,猫头鹰星团
E.T. Cluster,外星人星团
Fuzzy Butterfly Cluster,迷蝶星团
Yin-Yang Cluster,阴阳星团
Lawnmower Cluster,割草机星团
Letter S Cluster,字母S星团
Double Cluster,双星团
Spiral Cluster,螺旋星团
Fornax Dwarf Cluster 3,天炉座矮星系球状星团3
Patrick Starfish Cluster,帕特里克海星星团
Little Scorpion Cluster,小蝎星团
Stingray Cluster,黄貂鱼星团
Sea Robin Cluster,棘角鱼星团
Jolly Roger Cluster,海盗旗星团
Golden Harp Cluster,金竖琴星团
m & m Double Cluster,M&M双星团
Running Man Cluster,奔跑人星团
Magic Pentagram Cluster,魔术五角星团
Pirate Moon Cluster,海盗之月星团
4-H cluster,4-H 星团
Poor Man's Double Cluster,贫双星团
Letter Y Cluster,字母Y星团
S Dor Cluster,剑鱼座S星团
Starfish Cluster,海星星团
Letter Pi Cluster,字母π星团
Pinwheel Cluster,风车星团
Coal Car Cluster,煤车星团
30 Dor Cluster,剑鱼座30星团
January Salt-and-Pepper Cluster,一月椒盐星团
Auriga Salt and Pepper Cluster,御夫座椒盐星团
Shoe-Buckle Cluster,鞋扣星团
The 37 Cluster,37星团
The 'LE' Cluster,LE星团
Shopping Cart Cluster,购物车星团
Little Pleiades,小七姐妹星团
Intergalactic Wanderer,漫游者星团
Double Wedge Cluster,双锥状星团
NGC 2244 Satellite Cluster,NGC 2244的卫星星团
Harp Cluster,竖琴星团
Christmas Tree Cluster,圣诞树星团
Head Hunter Cluster,猎头星团
Starfighter Cluster,星际战士星团
Little Beehive Cluster,小蜂巢星团
Hagrid's Dragon Cluster,海格的龙星团
Great Bird Cluster,大鸟星团
Heart-Shaped Cluster,心状星团
Coil Cluster,线圈星团
Doublemint Cluster,箭头星团
Avery's Island,艾弗里岛星团
Caroline's Cluster,卡罗琳星团
τ CMa Cluster,弧矢增六星团
Pirate's Jewels Cluster,海盗宝石星团
Twinkling Comet Cluster,彗闪星团
Bold Arrow Cluster,宽箭头星团
Butterfly Cluster,蝴蝶星团
Stinging Scorpion Cluster,刺蝎星团
Electric Guitar Cluster,电吉他星团
Termite Hole Cluster,白蚁洞星团
Sprinter Cluster,短跑人星团
Diamond Cluster,钻石星团
Southern Beehive,南蜂巢星团
The Dish Cluster,盘状星团
Heart and Dagger Cluster,心与匕首星团
Wounded Heart Cluster,伤心星团
Golden Earring Cluster,金耳环星团
St. Peter's Cross Cluster,圣彼得十字星团
Beehive Cluster,蜂巢星团
Praesepe,鬼星团
Manger,马槽星团
Golden-Eye Cluster,金眼星团
Pac-Man Cluster,吃豆人星团
King Cobra Cluster,眼镜王蛇星团
Hand Cluster,手状星团
Queen's Cache Cluster,女王的私藏星团
Gem Cluster,宝石星团
Spider Spit Cluster,蛛丝星团
Little Jewel Box,小珠宝星团
Wishing Well Cluster,许愿井星团
Firefly Party Cluster,萤火虫群星团
Pincushion Cluster,枕星团
The Pin Cushion Cluster,针垫星团
Pearl Cluster,珍珠星团
The Longtail,长尾星团
Kick the Can Cluster,踢罐星团
Coalsack Cluster,煤袋星团
Jewel Box,宝盒星团
κ Cru Cluster,南十字座κ星团
The Southern Butterfly,南天蝴蝶星团
ω Cen Cluster,半人马座奥米茄星团
Snowglobe Cluster,雪球星团
Ghost Globular Cluster,鬼魂球状星团
Dracula Cluster,德古拉星团
Gypsy Moth Cluster,舞毒蛾星团
Rose Cluster,玫瑰星团
S Nor Cluster,矩尺座S星团
Crab Globular Cluster,蟹状星团
Spider Globular Cluster,蜘蛛球状星团
Little Pincushion,小枕星团
The Crucifix Cluster,十字架星团
μ Normae Cluster,矩尺座μ星团
Great Star Cluster in Hercules,武仙座球状星团
Hercules Globular Cluster,武仙座大球状星团
Gumball Globular Cluster,口香糖球状星团
Prize Comet Globular Cluster,彗星奖球状星团
Northern Jewel Box Cluster,北宝盒星团
Crocodile Cluster,鳄鱼星团
Flickering Globular Cluster,闪球星团
Moth Wing Cluster,蛾翼星团
Tonantzintla 1,托南钦特拉1球状星团
Phantom Cluster,幻影星团
Long John Silver Cluster,约翰·西尔弗星团
Silver Nugget Cluster,银块星团
Tom Thumb Cluster,汤姆拇指星团
Ptolemy's Cluster,托勒密星团
Dead Man's Chest Cluster,亡灵宝藏星团
Castaway Cluster,遇难者星团
Hourglass Cluster,沙漏星团
Cacciatore Cluster,砂锅星团
Black Swan Cluster,黑天鹅星团
Tweedledum Cluster,双胞胎星团
Captain Hook Cluster,胡克船长星团
Wasp-Waist Cluster,蜂腰星团
Tadpole Cluster,蝌蚪星团
Great Sagittarius Cluster,人马座大星团
Crackerjack Cluster,能人星团
Santa's Sleigh Cluster,圣诞雪橇星团
Teacup Cluster,茶杯星团
Wild Duck Cluster,野鸭星团
July Salt-and-Pepper Cluster,七月椒盐星团
Scutum Salt-and-Pepper Cluster,盾牌座椒盐星团
Flying Unicorn Cluster,飞独角兽星团
Chandelier Cluster,吊灯星团
Pavo Globular Cluster,孔雀座球状星团
Possible Binary Cluster,可能的双星团
Specter Cluster,幽灵星团
Hole in a Cluster,洞穴星团
Smoke Ring,烟圈星团
The Reliquary,圣物箱星团
The Foxhead Cluster,狐头星团
Octopus Cluster,章鱼星团
Poodle Cluster,贵宾犬星团
Angelfish Cluster,神仙鱼星团
Arrowhead Cluster,箭矢星团
Kite Cluster,风筝星团
Frigate (Pirate) Bird Cluster,军舰鸟星团
20 Vulpeculae Cluster,狐狸座20星团
The Inchworm Cluster,尺蠖星团
The Rocking Horse Cluster,木马星团
Cooling Tower,冷却塔星团
Little Sisters,小姐妹星团
Ghost Bush Cluster,鬼套星团
Flying Geese Cluster,雁形星团
Silk Fan Cluster,绢扇星团
Mothra Cluster,魔斯拉星团
Pegasus Cluster,飞马座星团
Great Pegasus Cluster,飞马座大星团
Jellyfish Cluster,海蜇星团
Small Cluster Nebula,小星团星云
NGC 7129 IR Cluster,NGC 7129红外星团
Swimming Alligator Cluster,短吻鳄星团
Bruce Lee Cluster,李小龙星团
Star Lizard Cluster,飞蜥星团
Drunken Lizard Cluster,醉蜥星团
The Dormouse Cluster,睡鼠星团
The Arrowhead Cluster,箭矢星团
Cassiopeia Salt-and-Pepper Cluster,仙后座椒盐星团
October Salt-and-Pepper Cluster,十月椒盐星团
The Scorpion Cluster,蝎状星团
Caroline's Rose Cluster,卡洛琳玫瑰星团
Ghost Cluster,鬼魂星团
Star Mist Cluster,星雾星团
Herschel's Spiral Cluster,赫歇尔的螺旋星团
Crab Cluster,蟹星团
Screaming Skull Cluster,尖叫头骨星团
The Widow's Web Cluster,寡妇的网星团
The Misty Clover Cluster,雾中三叶草星团
ο Vel Cluster,船帆座ο星团
Strings of Pearl Cluster,珍珠串星团
Hoopskirt Cluster,长裙星团
Southern Pleiades,南天七姐妹星团
θ Car Cluster,南船三星团
The Rip-Torn Cluster,利普-托恩星团
Summer Beehive Cluster,夏季蜂巢星团
Poseidon's Trident Cluster,海神三叉戟星团
Black Swallowtail Butterfly Cluster,黑燕尾蝶星团
Graff's Cluster,格拉夫星团
Tweedledee Cluster,双胞胎星团
Secret Garden Cluster,秘密花园星团
P Cyg Cluster,天鹅座P星团
Pleiades,昴星团
Seven Sisters,七姐妹星团
Subaru,昴宿星团
α Per Cluster,天船三星团
α Per Moving Group,天船三移动星团
Little Cloud of Pirates,海盗的小云星团
Wilk's Cluster,威尔克星团
Coma Berenices Cluster,后发座星团
Thisbe's Veil,面纱星团
Cobweb Cluster,蜘蛛网星团
Flying Witch,飞女巫星团
Taurus Poniatovii Cluster,波尼亚托夫斯基的金牛座星团
Poniatowski's Bull Cluster,波尼亚托夫斯基的公牛星团
Hyades,毕星团
Orion Cluster,猎户座星团
λ Ori Cluster,觜宿一星团
Aunt Margaret's Mirror,玛格丽特之镜星团
Orion Belt Cluster,猎户座腰带星团
Serpentine Column,蛇形柱星团
π Pup Cluster,弧矢九星团
Tuft in the Tail of the Dog Cluster,狗尾星团
Markarian 18 Cluster,马卡良18星团
η Car Cluster,海山二星团
Ursa Major Cluster,大熊座星团
Antares Cluster,心宿二星团
Coathanger,衣架星团
Al Sufi's Cluster,苏菲星团
Brocchi's Cluster,布洛契星团
The Snail,蜗牛星团
Loch Ness Moster Cluster,水怪星团
Pazmino's Cluster,帕兹米诺星团
Schuster-West Cluster,舒斯特-韦斯特星团
E1 Cluster,E1星团
E3 Cluster,E3星团
Sersic Cluster,赛尔斯克星团
Reticulum Cluster,网罟座星团
E2 Cluster,E2星团
Ara Cluster,天坛座星团
Tonantzintla 2,托南钦特拉2球状星团
"The Star Cluster, The Seven Gods",星团，七神
Group of Stars,星团
