source (en),translation (zh_CN)
Hand Cluster,手状星团
Spindle Nebula,主轴星云
Eight-Burst Planetary Nebula,双环星云
Southern Ring Nebula,南指环星云
Polarissima Borealis,北极星系
Polarissima,近极星系
Little Pinwheel Galaxy,小风车星系
Leo Quartet,狮子座四重星系
NGC 3190 Group,NGC3190星系群
Queen's Cache Cluster,女王的私藏星团
Ghost of Jupiter Nebula,木魂星云
Eye Nebula,眼星云
Gem Cluster,宝石星团
Spider Spit Cluster,蛛丝星团
Little Jewel Box,小珠宝星团
Keyhole Nebula,钥匙孔星云
The Gabriela Mistral Nebula,加夫列拉·米斯特拉尔星云
Sliced Onion Galaxy,洋葱切片星系
η Car Nebula,船底座星云
Homunculus Nebula,侏儒星云
The Great Nebula in Carina,船底座大星云
Knitting Needle Galaxy,编制针星系
Wishing Well Cluster,许愿井星团
Firefly Party Cluster,萤火虫群星团
Pincushion Cluster,枕星团
The Pin Cushion Cluster,针垫星团
Surfboard Galaxy,冲浪板星系
Ambartsumian's Knot,安巴楚勉之结
The Guitar,吉他星系
Statue of Liberty Nebula,自由女神星云
Owl Nebula,夜枭星云
Frame Galaxy,眼镜框星系
Southern Cross Galaxy,南十字星系
Leo Triplet,狮子座三重星系
Hamburger Galaxy,汉堡星系
King Hamlet's Ghost,哈姆雷特王之魂
Vanishing Galaxy,消没星系
Copeland's Septet,科普兰七重星系
Pearl Cluster,珍珠星团
Rich Man's Jewel Box,富翁的珠宝盒
Blue Planetary Nebula,蓝行星状星云
The Southerner,南方人星云
Miniature Spiral,微螺旋星系
Vacuum Cleaner Galaxy,吸尘器星系
NGC 4005 group,NGC 4005星系群
Antennae,触须星系
Ring-Tail Galaxy,环尾星系
Snorter,套索星系
The Longtail,长尾星团
Kick the Can Cluster,踢罐星团
The Box,方盒星系群
Medusa Galaxy,美杜莎星系
Medusa merger,美杜莎合并星系
Medusa Galaxy Merger,美杜莎星系合并
Silver Streak Galaxy,银纹星系
Weaver's Shuttle Galaxy,织布梭星系
Virgo Cluster Pinwheel,室女座星系团风车
Coma Pinwheel Galaxy,后发座风车星系
St. Catherine’s Wheel,圣凯瑟琳轮
Faust V023,浮士德V023
Swelling Spiral Galaxy,胖螺旋星系
Blowdryer Galaxy,吹风机星系
Mirror Galaxy,镜子星系
Galaxy Cluster,室女座星系团
Lawn Sprinkler Nebula,洒水器星云
Markarian's Chain,马卡良星系链
Great Galactic Face,星系构成的脸
Faust V051,浮士德V051
The Eyes,双眼星系
Copeland's Eyes,科普兰之眼
Virgo Galaxy,室女座星系
Virgo A,室女座A
Smoking gun,烟枪星系
Cocoon Galaxy,茧星系
Shapley-Ames 2,夏普利-艾姆斯2
Lost Galaxy,遗失星系
Hairy Eyebrow Galaxy,眉毛星系
The Lost Galaxy of Copeland,科普兰遗失星系
Koi Fish Galaxy,锦鲤星系
Needle Galaxy,针状星系
Berenice's Hair Clip, 贝雷奈西的发卡
Flying Saucer Galaxy,飞碟星系
Siamese Twins,双胞胎星系
Fish and Chips Galaxies,鱼薯条星系
Sombrero Galaxy,草帽星系
Dark Lane Galaxy,暗带星系
Faberge Egg Galaxy,俄罗斯彩蛋星系
Frankenstein Galaxy,弗兰肯斯坦星系
Coalsack Cluster,煤袋星团
Centaurus Chain,半人马座星系链
Whale Galaxy,鲸鱼星系
Herring Galaxy,鲱鱼星系
Umbrella Galaxy,伞星系
Crowbar Galaxy,撬棒星系
Hockey Stick Galaxy,曲棍球星系
The Hook,钩星系
The Hummingbird,蜂鸟星系
Fishhook Galaxy,鱼钩星系
Superwind-Galaxy,超级风星系
Mice Galaxies,双鼠星系
Vinyl LP Galaxy,黑胶唱片星系
Croc's Eye Galaxy,鳄鱼眼星系
Dust Devil Galaxy,尘卷暴星系
