source (en),translation (zh_CN)
Tasmanian Devil Nebula,塔斯马尼亚魔鬼星云
Dragonfly Nebula,蜻蜓星云
Guitar Nebula,吉他星云
Bow-Tie Nebula,蝴蝶结星云
Scarab Nebula,披风星云
Great Star Cloud in Andromeda Galaxy,仙女座星系中的大恒星云
Andromeda Nebula,仙女座星云
Great Nebula in Andromeda,仙女座大星云
Skull Nebula,头骨星云
Soap Bubble Nebula,肥皂泡星云
Voodoo Mask Nebula,巫毒面具星云
Pacman Nebula,吃豆人星云
Pac-Man Nebula,食鬼星云
Lafitte's Grand Isle,拉菲特大钢琴星云
Triangulum Nebula,三角座大星云
Little Dumbbell Nebula,小哑铃星云
Cork Nebula,软木塞星云
Barbell Nebula,杠铃星云
Butterfly Nebula,蝴蝶星云
Embryo Nebula,胚胎星云
Phantom Tiara,幻影头饰星云
Robin's Egg Nebula,知更鸟蛋星云
Comet Planetary Nebula,彗星行星状星云
Maia Nebula,昴宿四星云
Merope Nebula,昴宿五星云
Tempel's Nebula,坦普尔星云
Fossil Footprint Nebula,化石足迹星云
California Nebula,加利福尼亚星云
Dragon Nebula,龙星云
Camel's Eye Nebula,骆驼之眼星云
Oyster Nebula,牡蛎星云
Blue Oyster Nebula,蓝牡蛎星云
Crystal Ball Nebula,水晶球星云
Pansy Nebula,三色堇星云
Cleopatra's Eye Nebula,埃及艳后之眼星云
Eskimo's Wife Nebula,爱斯基摩之妻星云
Celestial Jellyfish,天水母星云
Ghost of Neptune Nebula,海王星之魂星云
Struve's Lost Nebula,斯特鲁维遗失星云
Struve's Nebula,斯特鲁维星云
Hind's Variable Nebula,欣德变光星云
Hind's Nebula,欣德星云
Northern Trifid Nebula,北三裂星云
Cosmic Bat Nebula,宇宙蝙蝠星云
Foxface Nebula,狐狸脸星云
The Fly Nebula,苍蝇星云
Crab Nebula,蟹状星云
Mermaid's Purse Nebula,美人鱼的钱包星云
Running Man Nebula,跑步者星云
Great Orion Nebula,猎户座大星云
Orion Nebula,猎户座星云
de Mairan's Nebula,迪马伦星云
Mairan's Nebula,梅朗星云
ε Ori Nebula,参宿二星云
13th Pearl Nebula,第13珍珠星云
Rubber Stamp Nebula,橡皮戳星云
Black Eye Nebula,黑眼星云
Kissing Crescents Nebula,吻月星云
Orion's Collarbone Nebula,猎户的锁骨星云
Flame Nebula,火焰星云
Tank Tracks Nebula,坦克履带星云
Maple Leaf Nebula,枫叶星云
Lips Nebula,唇星云
Burning Bush Nebula,火树星云
Casper the Friendly Ghost Nebula,鬼马小精灵星云 
Tarantula Nebula,狼蛛星云
Great Looped Nebula,大环星云
True Lovers' Knot,同心结星云
30 Dor Nebula,剑鱼座30星云
Ghost Head Nebula,鬼头星云
Monkey Head Nebula,猴头星云
Rosette Nebula,玫瑰星云
Hubble's Variable Nebula,哈勃变光星云
Hubble's Nebula,哈勃星云
Cone Nebula,圆锥星云
Fox Fur Nebula,狐皮星云
Hourglass Planetary Nebula,沙漏行星状星云
Crimson Butterfly Nebula,红蝴蝶星云
Duck Head Nebula,鸭头星云
Flying Eye Nebula,飞眼星云
Duck Nebula,鸭星云
Gemini Nebula,双子座星云
Ant Nebula,蚂蚁星云
Double Bubble Nebula,双泡星云
Peanut Nebula,花生星云
Eskimo Nebula,爱斯基摩星云
Clown Face Nebula,丑脸星云
Albino Butterfly Nebula,白蝴蝶星云
Burning Ember Nebula,烈火星云
Bat Nebula,蝙蝠星云
Kiss Nebula,吻星云
Little Lips Nebula,樱唇星云
Skull and Crossbones Nebula,骷髅头星云
Chained Brooch Nebula,链式胸针星云
Bear Claw Nebula,熊掌星云
Pencil Nebula,铅笔星云
Herschel's Ray Nebula,赫歇尔的线条星云
Bode's Nebula,波德星云
Spindle Nebula,主轴星云
Eight-Burst Planetary Nebula,双环星云
Southern Ring Nebula,南指环星云
Ghost of Jupiter Nebula,木魂星云
Eye Nebula,眼星云
Keyhole Nebula,钥匙孔星云
The Gabriela Mistral Nebula,加夫列拉·米斯特拉尔星云
η Car Nebula,船底座星云
Homunculus Nebula,侏儒星云
The Great Nebula in Carina,船底座大星云
Statue of Liberty Nebula,自由女神星云
Owl Nebula,夜枭星云
Blue Planetary Nebula,蓝行星状星云
The Southerner,南方人星云
Lawn Sprinkler Nebula,洒水器星云
Spiral Planetary Nebula,螺旋行星状星云
Spiral Nebula,漩涡星云
Whirlpool Nebula,涡状星云
Ghost of Uranus,天王星之魂星云
Rim Nebula,环星云
Turtle Nebula,乌龟星云
False Comet Nebula,伪彗星星云
Bug Nebula,小虫星云
Box Nebula,方盒星云
Exclamation Mark Nebula,感叹号星云
Cat's Paw Nebula,猫掌星云
