ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
6023,NGC6023,NGC6023,,,,19,,Gxy,Gxy,E3,¾ÞÉß×ù,SER,15h57m49.5s,15.96375,+16h18m38s,16.31055556,13.1,14.2,1.1,13.3,1.4,1,70,"faint, small, round, brighter middle","F, S, R, bM"
6024,NGC6024,NGC6024,,,,19,,Gxy,Gxy,S,ÌìÁú×ù,DRA,15h53m7.8s,15.8855,+64h55m6s,64.91833333,14.2,15,0.8,13.1,0.7,0.6,117,"pretty faint, pretty small, round, brighter middle, star close","pF, pS, R, bM, * close"
6025,NGC6025,NGC6025,,,,2,,OCL,OCL,II2p,ÄÏÈý½Ç×ù,TRA,16h3m17.7s,16.05491667,-60h25m53s,-60.43138889,5.1,99,99,99,15,,,"cluster, bright, very large, pretty rich, a little compressed, stars from 7th magnitude","Cl, B, vL, pRi, lC, st 7¡­"
6026,NGC6026,NGC6026,,,,13,,PN,PN,PN,²òÀÇ×ù,LUP,16h1m21s,16.0225,-34h32m37s,-34.54361111,12.9,13.2,99,99,0.67,,,"faint, small, round, gradually pretty much brighter middle, triangle of stars to northwest","F, S, R, gpmbM, ¦¤ of st np"
6027,NGC6027,NGC6027,,,,11,Èü¸¥ÌØÁùÖØÐÇÏµ,Gxy,Gxy,S0,¾ÞÉß×ù,SER,15h59m12.5s,15.98680556,+20h45m50s,20.76388889,13.5,14.2,0.7,12.9,1,0.7,84,"extremely faint, very faint star involved, 2 very faint stars near","eF, vF * inv, 2 vF st nr"
6028,NGC6028,NGC6028,,,,19,,Gxy,Dup,S0-a,ÎäÏÉ×ù,HER,16h1m29.1s,16.02475,+19h21m34s,19.35944444,13.5,14.4,0.9,13.8,1.3,1.1,30,"very faint, pretty small, no nucleus","vF, pS, no Nucl"
6029,NGC6029,NGC6029,,,,18,,Gxy,Gxy,C,¾ÞÉß×ù,SER,16h1m58.8s,16.033,+12h34m29s,12.57472222,14.7,15.7,1,14.4,1.2,0.7,5,"very faint, very small","vF, vS"
6030,NGC6030,NGC6030,,,,19,,Gxy,Gxy,S0,ÎäÏÉ×ù,HER,16h1m51.3s,16.03091667,+17h57m27s,17.9575,12.8,13.7,0.9,12.5,1.2,0.8,37,"pretty faint, very small, round, brighter middle","pF, vS, R, bM"
6031,NGC6031,NGC6031,,,,13,,OCL,OCL,I2p,¾Ø³ß×ù,NOR,16h7m34.4s,16.12622222,-54h1m0s,-54.01666667,8.5,99,99,99,3,,,"cluster, small, much compressed, stars from 11th to 14th magnitude","Cl, S, mC, st 11¡­14"
6032,NGC6032,NGC6032,,,,19,,Gxy,Gxy,SBb,ÎäÏÉ×ù,HER,16h3m1.1s,16.05030556,+20h57m21s,20.95583333,13.5,14.3,0.8,13.5,1.6,0.7,0,"very faint, pretty large, a little extended, very little brighter middle, northwestern of 2","vF, pL, lE, vlbM, np of 2"
