ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
1,NGC1,NGC1,,,,18,,Gxy,Gxy,Sb,·ÉÂí×ù,PEG,0h7m15.9s,0.121083333,+27h42m32s,27.70888889,12.9,13.7,0.8,13.5,1.7,1.2,120,"faint, small, round, between 11th and 14th magnitude stars","F, S, R, bet * 11 and * 14"
2,NGC2,NGC2,,,,18,,Gxy,Gxy,Sab,·ÉÂí×ù,PEG,0h7m17.1s,0.121416667,+27h40m43s,27.67861111,14.2,15,0.8,13.6,1,0.6,112,"very faint, small, south of GC 1","vF, S, s of G.C. 1"
3,NGC3,NGC3,,,,18,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,0h7m16.8s,0.121333333,+8h18m5s,8.301388889,13.3,14.2,0.9,12.8,1.1,0.6,111,"faint, very small, round, almost stellar","F, vS, R, alm stell"
4,NGC4,NGC4,,,,18,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,0h7m24.5s,0.123472222,+8h22m26s,8.373888889,15.8,16.9,1,13.8,0.6,0.3,35,extremely faint,eF
5,NGC5,NGC5,,,,19,,Gxy,Gxy,E4,ÏÉÅ®×ù,AND,0h7m48.8s,0.130222222,+35h21m46s,35.36277778,13.3,14.3,1,13.1,1.2,0.7,115,"faint, small, round, between 11th and 14th magnitude stars","vF, vS, N = * 13, 14"
6,NGC6,NGC6,,,,19,,Gxy,Dup,E-S0,ÏÉÅ®×ù,AND,0h9m32.6s,0.159055556,+33h18m32s,33.30888889,13.1,14.1,1,14.3,1.7,1.6,140,"extremely faint, very small, considerably extended","eF, vS, cE"
7,NGC7,NGC7,,,,16,,Gxy,Gxy,SBc,Óñ·ò×ù,SCL,0h8m20.7s,0.139083333,-29h54m59s,-29.91638889,13.9,14.4,0.5,14,2.2,0.5,29,"extremely faint, considerably large, much extended, very gradually very little brighter middle","eF, cL, mE, vgvlbM"
8,NGC8,NGC8,,,,18,,Star(s),Star(s),*2,·ÉÂí×ù,PEG,0h8m45.3s,0.145916667,+23h50m19s,23.83861111,99,99,99,99,,,,"very faint, nucleus in north end","vF, N in n end"
9,NGC9,NGC9,,,,18,,Gxy,Gxy,Sb/P,·ÉÂí×ù,PEG,0h8m54.5s,0.148472222,+23h49m4s,23.81777778,13.5,14.3,0.8,12.6,1.1,0.7,155,"faint, round, 9th or 10th magnitude star to southeast","F, R, * 9, 10 sf"
10,NGC10,NGC10,,,,16,,Gxy,Gxy,SBbc,Óñ·ò×ù,SCL,0h8m34.3s,0.142861111,-33h51m28s,-33.85777778,12.5,13.3,0.8,13.5,2.4,1.2,26,"faint, considerably large, very little extended, gradually a little brighter middle","F, cL, vlE, glbM"
11,NGC11,NGC11,,,,19,,Gxy,Gxy,Sa,ÏÉÅ®×ù,AND,0h8m42.3s,0.145083333,+37h26m53s,37.44805556,13.7,14.6,0.9,12.7,1.5,0.3,111,"very faint, very small, very little extended, 2 very faint stars involved","vF, vS, vlE, 2 vF st inv"
12,NGC12,NGC12,,,III 868,15,,Gxy,Gxy,SBc,Ë«Óã×ù,PSC,0h8m44.8s,0.145777778,+4h36m44s,4.612222222,13.1,13.8,0.7,14,1.1,1,125,"extremely faint, pretty large, very gradually a little brighter middle","eF, pL, vglbM"
13,NGC13,NGC13,,,III 866,15,,Gxy,Gxy,Sab,ÏÉÅ®×ù,AND,0h8m47.7s,0.146583333,+33h25m59s,33.43305556,13.2,14,0.8,13.5,2.3,0.6,53,"very faint, very small, small star plus nebulosity","vF, vS, S st + neb"
14,NGC14,NGC14,,,II 591,15,,Gxy,Gxy,IBm,·ÉÂí×ù,PEG,0h8m46.3s,0.146194444,+15h48m57s,15.81583333,12.1,12.7,0.6,13.9,2.8,2.1,25,"very faint, pretty small, round, gradually a little brighter middle","vF, pS, R, glbM"
15,NGC15,NGC15,,,,18,,Gxy,Gxy,Sa,·ÉÂí×ù,PEG,0h9m2.4s,0.150666667,+21h37m30s,21.625,13.8,14.7,0.9,13.1,1,0.6,30,"very faint, very small, round, brighter middle","vF, vS, R, bM"
16,NGC16,NGC16,,,,12,,Gxy,Gxy,E/SB0,·ÉÂí×ù,PEG,0h9m4.2s,0.151166667,+27h43m48s,27.73,12,13,1,12.5,1.8,1,16,"pretty bright, small, round, brighter middle","pB, S, R, bM"
17,NGC17,NGC17,,,,19,,Gxy,Gxy,S/P,¾¨Óã×ù,CET,0h11m6.6s,0.185166667,-12h6m28s,-12.10777778,14.4,15.3,0.9,14.8,2.1,0.8,30,"very faint, extremely small, irregularly round, double star 2 arcmin to west","vF, eS, iR, D * 2' p"
18,NGC18,NGC18,,,,18,,Star(s),Star(s),*2,·ÉÂí×ù,PEG,0h9m23s,0.156388889,+27h43m56s,27.73222222,99,99,99,99,,,,"faint, very small, irregularly round, much brighter middle, h 4 19s to west","F, vS, iR, mbM, h 4 p 19s"
19,NGC19,NGC19,,,,19,,Gxy,Gxy,SBbc,ÏÉÅ®×ù,AND,0h10m40.8s,0.178,+32h58m58s,32.98277778,13.3,14.1,0.8,12.7,1.1,0.6,42,"most extremely faint, a little extended, 3 very faint stars around","eeF, lE, 3 vF st around"
20,NGC20,NGC20,,,,18,,Gxy,Gxy,E-S0,ÏÉÅ®×ù,AND,0h9m32.6s,0.159055556,+33h18m32s,33.30888889,13.1,14.1,1,14.3,1.7,1.6,140,"extremely faint, very small, considerably extended","F, * 10 att"
21,NGC21,NGC21,,,,19,,Gxy,Dup,SBbc,ÏÉÅ®×ù,AND,0h10m47s,0.179722222,+33h21m7s,33.35194444,12.7,13.5,0.8,12.8,1.5,0.7,154,"extremely faint, small, a little extended","eF, S, lE"
22,NGC22,NGC22,,,IV 15,15,,Gxy,Gxy,Sb,·ÉÂí×ù,PEG,0h9m48.2s,0.163388889,+27h49m58s,27.83277778,13.6,14.4,0.8,13.8,1.3,1,160,"very faint, pretty small, round, a little brighter middle, mottled but not resolved","vF, pS, R, lbM, r"
23,NGC23,NGC23,,,III 147,6.5,,Gxy,Gxy,SBa,·ÉÂí×ù,PEG,0h9m53.3s,0.164805556,+25h55m26s,25.92388889,12,12.9,0.9,13,2.1,1.3,8,3 small stars plus nebulosity,3 S st + neb
24,NGC24,NGC24,,,III 461,6.5,,Gxy,Gxy,Sc,Óñ·ò×ù,SCL,0h9m56.1s,0.165583333,-24h57m52s,-24.96444444,11.6,12.2,0.6,13.7,5.8,1.3,46,"very faint, considerably large, much extended, gradually brighter middle","vF, cL, mE, gbM"
25,NGC25,NGC25,,,,16,,Gxy,Gxy,E/SB0,·ï»Ë×ù,PHE,0h9m59.3s,0.166472222,-57h1m13s,-57.02027778,13,13.6,0.6,13,1.4,0.8,88,"very faint, small, round","vF, S, R"
26,NGC26,NGC26,,,,18,,Gxy,Gxy,Sab,·ÉÂí×ù,PEG,0h10m25.9s,0.173861111,+25h49m56s,25.83222222,12.9,13.7,0.8,13.9,2.1,1.4,100,"very faint, pretty large, round, 2 faint stars to north","vF, pL, R, 2 F st n"
27,NGC27,NGC27,,,,19,,Gxy,Gxy,Sb,ÏÉÅ®×ù,AND,0h10m32.7s,0.17575,+28h59m49s,28.99694444,13.5,14.3,0.8,13.1,1.2,0.5,117,"extremely faint, very small, extended, bright star near","eF, vS, E, B * nr"
28,NGC28,NGC28,,,,16,,Gxy,Gxy,E1,·ï»Ë×ù,PHE,0h10m25.2s,0.173666667,-56h59m20s,-56.98888889,13.8,14.8,1,13.1,0.8,0.6,119,"extremely faint, the preceding (western) of 2","eF, p of 2"
29,NGC29,NGC29,,,II 853,15,,Gxy,Gxy,SBbc,ÏÉÅ®×ù,AND,0h10m47s,0.179722222,+33h21m7s,33.35194444,12.7,13.5,0.8,12.8,1.5,0.7,154,"extremely faint, small, a little extended","pB, pL, E 0¡ã"
30,NGC30,NGC30,,,,18,,Star(s),Star(s),*2,·ÉÂí×ù,PEG,0h10m50.8s,0.180777778,+21h58m39s,21.9775,99,99,99,99,,,,a 13th magnitude nebulous star,Neb * 13
31,NGC31,NGC31,,,,16,,Gxy,Gxy,Sc,·ï»Ë×ù,PHE,0h10m38.5s,0.177361111,-56h59m10s,-56.98611111,13.9,14.6,0.7,13.4,1.3,0.7,5,"most extremely faint, small, round, following (eastern) of 2","eeF, S, R, f of 2"
32,NGC32,NGC32,,,,17,,Star(s),Star(s),*2,·ÉÂí×ù,PEG,0h10m53.2s,0.181444444,+18h47m33s,18.7925,99,99,99,99,0.6,,,faint (Auwers 1),F (Auw. 1)
33,NGC33,NGC33,,,,18,,Star(s),Star(s),*2,Ë«Óã×ù,PSC,0h10m56.6s,0.182388889,+3h40m35s,3.676388889,99,99,99,99,,,,"extremely faint, very small, or nebulous star","eF, vS, or neb st"
34,NGC34,NGC34,,,,19,,Gxy,Dup,S/P,¾¨Óã×ù,CET,0h11m6.6s,0.185166667,-12h6m28s,-12.10777778,14.4,15.3,0.9,14.8,2.1,0.8,30,"very faint, extremely small, irregularly round, double star 2 arcmin to west","pF, S, R, 2 st nr"
35,NGC35,NGC35,,,,19,,Gxy,Gxy,Sb,¾¨Óã×ù,CET,0h11m10.4s,0.186222222,-12h1m14s,-12.02055556,14.1,14.9,0.8,12.8,0.7,0.5,135,"most extremely faint, pretty small, round","eeF, pS, R"
36,NGC36,NGC36,,,III 456,15,,Gxy,Gxy,SBb,Ë«Óã×ù,PSC,0h11m22.4s,0.189555556,+6h23m20s,6.388888889,13.3,14.1,0.8,14.1,2.2,1.1,21,"very faint, pretty small, irregular figure","vF, pS, iF"
37,NGC37,NGC37,,,,16,,Gxy,Gxy,SB0,·ï»Ë×ù,PHE,0h11m23s,0.189722222,-56h57m25s,-56.95694444,13.7,14.7,1,13.3,1.1,0.7,35,"extremely faint, small, round","eF, S, R"
38,NGC38,NGC38,,,,19,,Gxy,Gxy,Sa,Ë«Óã×ù,PSC,0h11m47s,0.196388889,-5h35m11s,-5.586388889,13.3,14.2,0.9,13.8,1.4,1.3,80,"faint, small, round, much brighter middle","F, S, R, mbM"
39,NGC39,NGC39,,,III 861,15,,Gxy,Gxy,Sc,ÏÉÅ®×ù,AND,0h12m18.8s,0.205222222,+31h3m39s,31.06083333,13.5,14.2,0.7,13.5,1.1,1,120,"very faint, pretty small, round","vF, pS, R"
40,NGC40,NGC40,,,IV 58,2,ºûµû½áÐÇÔÆ,PN,PN,PN,ÏÉÍõ×ù,CEP,0h13m1s,0.216944444,+72h31m21s,72.5225,12.3,10.7,99,99,1.23,,,"faint, very small, round, very suddenly much brighter middle, 12th magnitude star to southwest","F, vS, R, vsmbM, * 12 sp"
41,NGC41,NGC41,,,,18,,Gxy,Gxy,Sc,·ÉÂí×ù,PEG,0h12m48s,0.213333333,+22h1m26s,22.02388889,13.7,14.4,0.7,12.6,0.8,0.5,123,"pretty faint, small, a little extended, gradually brighter middle","pF, S, lE, gbM"
42,NGC42,NGC42,,,,18,,Gxy,Gxy,E-S0,·ÉÂí×ù,PEG,0h12m56.3s,0.215638889,+22h6m3s,22.10083333,13.8,14.8,1,13.2,1.1,0.6,115,"faint, very small, stellar","F, vS, stell"
43,NGC43,NGC43,,,,16,,Gxy,Gxy,SB0,ÏÉÅ®×ù,AND,0h13m0.9s,0.216916667,+30h54m56s,30.91555556,12.6,13.6,1,13.4,1.6,1.5,15,"extremely faint, 12th magnitude star 45 arcsec to northwest","eF, * 12 np 45"""
44,NGC44,NGC44,,,,16,,Star(s),Star(s),*2,ÏÉÅ®×ù,AND,0h13m13.4s,0.220388889,+31h17m12s,31.28666667,99,99,99,99,,,,"extremely faint, very small","eF, vS"
45,NGC45,NGC45,,,,11,,Gxy,Gxy,SBd,¾¨Óã×ù,CET,0h14m4s,0.234444444,-23h10m53s,-23.18138889,10.6,11.3,0.7,14.7,8.5,5.9,142,"extremely faint, large, very gradually a very little brighter middle, large (bright) star in contact following (to the east)","eF, L, vgvlbM, L * cont f"
46,NGC46,NGC46,,,,17,,Star(s),Star(s),*,Ë«Óã×ù,PSC,0h14m10s,0.236111111,+5h59m14s,5.987222222,99,11.7,99,99,,,,a nebula (Auwers 2),Nebula (Auw. 2)
47,NGC47,NGC47,,,,19,,Gxy,Gxy,SBbc,¾¨Óã×ù,CET,0h14m30.5s,0.241805556,-7h10m4s,-7.167777778,13.1,13.9,0.8,14.7,2.3,2.1,81,"very faint, very small","vF, vS"
48,NGC48,NGC48,,,,19,,Gxy,Gxy,SBbc,ÏÉÅ®×ù,AND,0h14m2.1s,0.233916667,+48h14m6s,48.235,13.6,14.4,0.8,13.7,1.6,1,15,"most extremely faint, pretty large, round, very difficult","eeF, pL, R, v diffic"
49,NGC49,NGC49,,,,19,,Gxy,Gxy,S0,ÏÉÅ®×ù,AND,0h14m22.4s,0.239555556,+48h14m50s,48.24722222,13.7,14.7,1,13.4,1.1,1,165,"most extremely faint, small, round, 2nd of 3","eeF, S, R, 2nd of 3"
50,NGC50,NGC50,,,,18,,Gxy,Gxy,E-S0,¾¨Óã×ù,CET,0h14m44.6s,0.245722222,-7h20m42s,-7.345,12.3,13.3,1,14,2.4,1.8,170,very faint,vF
51,NGC51,NGC51,,,,19,,Gxy,Gxy,S0,ÏÉÅ®×ù,AND,0h14m34.8s,0.243,+48h15m22s,48.25611111,13.1,14.1,1,13.3,1.3,1,20,"pretty faint, pretty small, round, brighter middle","pF, pS, R, bM"
52,NGC52,NGC52,,,III 183,15,,Gxy,Gxy,Sc,·ÉÂí×ù,PEG,0h14m40s,0.244444444,+18h34m54s,18.58166667,13.4,14.1,0.7,13.1,2.2,0.4,127,"very faint, small, extended","vF, S, E"
53,NGC53,NGC53,,,,16,,Gxy,Gxy,SBb,¶Å¾é×ù,TUC,0h14m43s,0.245277778,-60h19m43s,-60.32861111,12.6,13.3,0.7,13.6,2,1.4,172,"extremely faint, small, round, brighter middle","eF, S, R, bM"
54,NGC54,NGC54,,,,19,,Gxy,Gxy,Sa,¾¨Óã×ù,CET,0h15m7.6s,0.252111111,-7h6m24s,-7.106666667,13.4,14.3,0.9,12.4,1.3,0.5,93,"very faint, pretty small, round, 5092 to southwest","vF, pS, R, 5092 sp"
55,NGC55,NGC55,,,,2,ÕäÖé´®ÐÇÏµ,Gxy,Gxy,SBm,Óñ·ò×ù,SCL,0h15m8s,0.252222222,-39h13m10s,-39.21944444,7.9,8.4,0.5,13.4,31.2,5.9,108,"very bright, very large, very much extended, triple nucleus","vB, vL, vmE, triN"
56,NGC56,NGC56,,,,16,,NF,NF,NF,Ë«Óã×ù,PSC,0h15m20.6s,0.255722222,+12h26m40s,12.44444444,99,99,99,99,,,,"extremely faint, extremely large, diffuse","eF, eL, diff"
57,NGC57,NGC57,,,"II 241, II 243",15,,Gxy,Gxy,E1,Ë«Óã×ù,PSC,0h15m30.9s,0.258583333,+17h19m45s,17.32916667,11.6,12.7,1.1,13.1,2.2,1.9,40,"faint, small, round, suddenly brighter middle","F, S, R, sbM"
58,NGC58,NGC58,,,,19,,Gxy,Dup,SBbc,¾¨Óã×ù,CET,0h14m30.5s,0.241805556,-7h10m4s,-7.167777778,13.1,13.9,0.8,14.7,2.3,2.1,81,"very faint, pretty small, round","vF, pS, R"
59,NGC59,NGC59,,,,19,,Gxy,Gxy,E-S0,¾¨Óã×ù,CET,0h15m25.3s,0.257027778,-21h26m41s,-21.44472222,12.4,13.1,0.7,13.6,2.6,1.3,127,"very faint, pretty small, irregularly round, gradually brighter middle","vF, pS, iR, gbM"
60,NGC60,NGC60,,,,19,,Gxy,Gxy,Sc,Ë«Óã×ù,PSC,0h15m58.2s,0.266166667,-0h18m13s,-0.303611111,14.1,14.8,0.7,14.3,1.3,1.2,155,"extremely faint, very small, round, a little brighter middle","eF, vS, R, lbM"
61,NGC61,NGC61,A,,III 428,15,,Gxy,Gxy,S0,¾¨Óã×ù,CET,0h16m24s,0.273333333,-6h19m2s,-6.317222222,13,14,1,12.4,1.1,0.7,24,"very faint, small, irregularly round, pretty suddenly a very little brighter middle","vF, S, iR, psvlbM"
62,NGC62,NGC62,,,,19,,Gxy,Gxy,Sa,¾¨Óã×ù,CET,0h17m5.3s,0.284805556,-13h29m11s,-13.48638889,13.2,14.1,0.9,12.6,1.1,0.8,130,"faint, very small, round, gradually a little brighter middle","F, vS, R, glbM"
63,NGC63,NGC63,,,,18,,Gxy,Gxy,S/P,Ë«Óã×ù,PSC,0h17m45.5s,0.295972222,+11h27m0s,11.45,11.7,12.6,0.9,12.3,1.7,1.2,108,"pretty faint, small, round, suddenly brighter middle","pF, S, R, sbM"
64,NGC64,NGC64,,,,19,,Gxy,Gxy,SBbc,¾¨Óã×ù,CET,0h17m30.3s,0.29175,-6h49m30s,-6.825,13.2,14,0.8,13.7,1.6,1.1,39,"most extremely faint, very small, round, very difficult","eeF, vS, R, v diffic"
65,NGC65,NGC65,,,,19,,Gxy,Gxy,E/SB0,¾¨Óã×ù,CET,0h18m58.7s,0.316305556,-22h52m48s,-22.88,13.9,14.8,0.9,12.9,1,0.8,5,"extremely faint, very small, round, gradually brighter middle, western of 2","eF, vS, R, gbM, p of 2"
66,NGC66,NGC66,,,,19,,Gxy,Gxy,SBb,¾¨Óã×ù,CET,0h19m4.9s,0.318027778,-22h56m11s,-22.93638889,13.5,14.3,0.8,13.1,1.2,0.7,32,"extremely faint, pretty small, extended 225¡ã, 9th magnitude star 1 arcmin to north, eastern of 2","eF, pS, E, 225¡ã, * 9 n 1', f of 2"
67,NGC67,NGC67,,,,18,,Gxy,Gxy,E3,ÏÉÅ®×ù,AND,0h18m14.9s,0.304138889,+30h3m48s,30.06333333,14.2,15.2,1,11.5,0.3,0.2,51,"extremely faint, very small, round","eF, vS, R"
68,NGC68,NGC68,,,V 16,15,,Gxy,Gxy,E-S0,ÏÉÅ®×ù,AND,0h18m18.2s,0.305055556,+30h4m21s,30.0725,12.9,13.9,1,13,1.2,1.1,0,"extremely faint, large, 3 or 4 stars plus nebulosity","eF, L, 3 or 4 st + neb"
69,NGC69,NGC69,,,,18,,Gxy,Gxy,E/SB0,ÏÉÅ®×ù,AND,0h18m20.4s,0.305666667,+30h2m26s,30.04055556,14.7,15.8,1.1,14.1,0.5,0.3,33,"extremely faint, very small, round","eF, vS, R"
70,NGC70,NGC70,,,,15,,Gxy,Gxy,Sbc,ÏÉÅ®×ù,AND,0h18m22.4s,0.306222222,+30h4m44s,30.07888889,13.5,14.3,0.8,13.9,1.6,1.4,0,"extremely faint, very small, round, between 2 faint stars","eF, vS, R, bet 2 F st"
71,NGC71,NGC71,,,,15,,Gxy,Gxy,E-S0/P,ÏÉÅ®×ù,AND,0h18m23.5s,0.306527778,+30h3m47s,30.06305556,13.2,14.2,1,13.4,1.2,0.9,129,"extremely faint, very small, round","eF, vS, R"
72,NGC72,NGC72,,,,15,,Gxy,Gxy,SBab,ÏÉÅ®×ù,AND,0h18m28.4s,0.307888889,+30h2m26s,30.04055556,13.5,14.5,1,13.4,1.1,0.9,15,"extremely faint, very small, round","eF, vS, R"
73,NGC73,NGC73,,,,19,,Gxy,Gxy,Sbc,¾¨Óã×ù,CET,0h18m38.9s,0.310805556,-15h19m18s,-15.32166667,13.7,14.5,0.8,14.3,1.7,1.2,145,"very faint, small, round, extremely faint double star close to east","vF, S, R, eF D * close f"
74,NGC74,NGC74,,,,18,,Gxy,Gxy,Sb,ÏÉÅ®×ù,AND,0h18m49.5s,0.31375,+30h3m41s,30.06138889,14.8,15.6,0.8,13.1,0.8,0.3,131,"extremely faint, small, extended, last of 6","eF, S, E, last of 6"
75,NGC75,NGC75,,,,19,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,0h19m26.3s,0.323972222,+6h26m59s,6.449722222,13.2,14.2,1,13.3,1.1,1.1,,"very faint, very small, round","vF, vS, R"
76,NGC76,NGC76,,,,19,,Gxy,Gxy,C,ÏÉÅ®×ù,AND,0h19m37.7s,0.327138889,+29h56m3s,29.93416667,13.1,14.1,1,12.8,1,0.9,65,"very faint, small, brighter middle","vF, S, bM"
77,NGC77,NGC77,,,,19,,Gxy,Gxy,E-S0,¾¨Óã×ù,CET,0h20m1.6s,0.333777778,-22h31m56s,-22.53222222,14.8,15.8,1,12.7,0.4,0.4,,"extremely faint, very small, irregular figure (due to a star?), 9th magnitude star 3 arcmin to the west","eF, vS, iF (? *), * 9 p 3'"
78,NGC78,NGC78,A,,,18,,Gxy,Gxy,SB0-a,Ë«Óã×ù,PSC,0h20m25.8s,0.3405,+0h49m35s,0.826388889,12.8,13.7,0.9,13.3,1.1,0.7,80,"very faint, small, round","vF, S, R"
79,NGC79,NGC79,,,,19,,Gxy,Gxy,E-S0,ÏÉÅ®×ù,AND,0h21m2.8s,0.350777778,+22h34m2s,22.56722222,14,15,1,13,0.6,0.6,,"very faint, small, a very little brighter middle","vF, S, vlbM"
80,NGC80,NGC80,,,,16,,Gxy,Gxy,E-S0,ÏÉÅ®×ù,AND,0h21m10.9s,0.353027778,+22h21m28s,22.35777778,12.1,13.1,1,13.2,1.6,1.6,,"faint, small, round, pretty suddenly brighter middle","F, S, R, psbM"
81,NGC81,NGC81,,,,19,,Gxy,Gxy,S,ÏÉÅ®×ù,AND,0h21m13.2s,0.353666667,+22h23m0s,22.38333333,15.7,16.5,0.8,11.3,0.2,0.1,84,"most extremely faint, southwest of h 17","eeF, sp h 17"
82,NGC82,NGC82,,,,19,,Star(s),Star(s),*,ÏÉÅ®×ù,AND,0h21m17.6s,0.354888889,+22h27m40s,22.46111111,99,99,99,99,,,,"extremely faint, stellar","eF, stellar"
83,NGC83,NGC83,,,,16,,Gxy,Gxy,E0,ÏÉÅ®×ù,AND,0h21m22.6s,0.356277778,+22h26m3s,22.43416667,12.5,13.6,1.1,13.3,1.5,1.5,,"extended, binuclear, 3 bright stars near","E, biN, 3 B st nr"
84,NGC84,NGC84,,,,19,,Star(s),Star(s),*,ÏÉÅ®×ù,AND,0h21m21.2s,0.355888889,+22h37m9s,22.61916667,99,99,99,99,,,,"extremely faint, star and nebulosity","eF, st & neb"
85,NGC85,NGC85,,,,18,,Gxy,Gxy,S0,ÏÉÅ®×ù,AND,0h21m25.5s,0.357083333,+22h30m44s,22.51222222,14.8,15.8,1,13.5,0.7,0.5,146,"most extremely faint, considerably large, round","eeF, cL, R"
86,NGC86,NGC86,,,,19,,Gxy,Gxy,S?,ÏÉÅ®×ù,AND,0h21m28.6s,0.357944444,+22h33m23s,22.55638889,14.8,15.7,0.9,13,0.7,0.3,9,"extremely faint, very small, a little brighter middle","eF, vS, lbM"
87,NGC87,NGC87,,,,14,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,Gxy,IBm/P,·ï»Ë×ù,PHE,0h21m14.2s,0.353944444,-48h37m44s,-48.62888889,14.3,14.7,0.4,13.7,0.9,0.7,171,"extremely faint, small, round, gradually brighter middle, 1st of 4","eF, S, R, gbM, 1st of 4"
88,NGC88,NGC88,,,,14,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,Gxy,SB0-a,·ï»Ë×ù,PHE,0h21m22s,0.356111111,-48h38m23s,-48.63972222,14.4,15,0.6,13.3,0.8,0.5,145,"extremely faint, very small, round, 2nd of 4","eF, vS, R, 2nd of 4"
89,NGC89,NGC89,,,,14,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,Gxy,SB0-a,·ï»Ë×ù,PHE,0h21m24.3s,0.35675,-48h39m55s,-48.66527778,13.5,14.2,0.7,13,1.2,0.6,148,"very faint, small, round, gradually brighter middle, 3rd of 4","vF, S, R, gbM, 3rd of 4"
90,NGC90,NGC90,,,,18,,Gxy,Gxy,SBc,ÏÉÅ®×ù,AND,0h21m51.6s,0.364333333,+22h24m2s,22.40055556,13.7,14.5,0.8,14,1.9,0.8,132,"very faint, a little extended.","vF, lE"
91,NGC91,NGC91,,,,18,,Star(s),Star(s),*,ÏÉÅ®×ù,AND,0h21m51.7s,0.364361111,+22h22m8s,22.36888889,99,15.1,99,99,,,,"very faint, very small, 13th magnitude star to southwest.","vF, vS, * 13 sp"
92,NGC92,NGC92,,,,14,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,Gxy,Sa,·ï»Ë×ù,PHE,0h21m31.4s,0.358722222,-48h37m29s,-48.62472222,13.1,13.8,0.7,13.6,1.9,0.9,148,"faint, small, round, gradually brighter middle, 4th of 4","F, S, R, gbM, 4th of 4"
93,NGC93,NGC93,,,,18,,Gxy,Gxy,Sb,ÏÉÅ®×ù,AND,0h22m3.4s,0.367611111,+22h24m32s,22.40888889,13.2,14.3,1.1,12.8,1.4,0.6,48,"very faint, very small","vF, vS"
94,NGC94,NGC94,,1,,19,,Gxy,Gxy,S0,ÏÉÅ®×ù,AND,0h22m13.6s,0.370444444,+22h29m0s,22.48333333,14.6,15.6,1,11.7,0.4,0.2,30,"extremely faint, very small","eF, vS"
95,NGC95,NGC95,,,II 257,13,,Gxy,Gxy,SBc/P,Ë«Óã×ù,PSC,0h22m13.6s,0.370444444,+10h29m31s,10.49194444,12.5,13.2,0.7,13.2,1.5,1.1,90,"faint, pretty large, round, gradually brighter middle","F, pL, R, gbM"
96,NGC96,NGC96,,,,19,,Gxy,Gxy,S0,ÏÉÅ®×ù,AND,0h22m17.8s,0.371611111,+22h32m48s,22.54666667,14.6,15.6,1,13.4,0.6,0.6,,"very faint, small, a very little brighter middle","vF, S, vlbM"
97,NGC97,NGC97,,,,16,,Gxy,Gxy,E0,ÏÉÅ®×ù,AND,0h22m30s,0.375,+29h44m44s,29.74555556,12.3,13.3,1,12.9,1.3,1.3,,"faint, very small, round, gradually brighter middle","F, vS, R, gbM"
98,NGC98,NGC98,,,,16,,Gxy,Gxy,SBbc,·ï»Ë×ù,PHE,0h22m49.3s,0.380361111,-45h16m6s,-45.26833333,12.7,13.4,0.7,13.4,1.6,1.3,0,"very faint, pretty small, round, brighter middle, mottled but not resolved","vF, pS, R, bM, r"
99,NGC99,NGC99,,,,19,,Gxy,Gxy,Sc/P,Ë«Óã×ù,PSC,0h23m59.6s,0.399888889,+15h46m12s,15.77,13.7,14,0.3,14.1,1,0.9,42,"very faint, pretty large, round, gradually brighter middle","vF, pL, R, gbM"
100,NGC100,NGC100,,,,19,,Gxy,Gxy,Sc,Ë«Óã×ù,PSC,0h24m2.6s,0.400722222,+16h29m11s,16.48638889,13.3,13.9,0.6,14.6,4.2,0.5,56,"very faint, pretty small, much extended","vF, pS, mE"
101,NGC101,NGC101,,,,16,,Gxy,Gxy,SBc,Óñ·ò×ù,SCL,0h23m54.5s,0.398472222,-32h32m11s,-32.53638889,12.8,13.4,0.6,14.3,2.1,2,89,"pretty bright, pretty large, a little extended, 14th magnitude star to east","pB, pL, lE, * 14 f"
102,NGC102,NGC102,,,,19,,Gxy,Gxy,SB0-a,¾¨Óã×ù,CET,0h24m36.5s,0.410138889,-13h57m22s,-13.95611111,13.5,14.4,0.9,13,1,0.7,140,"extremely faint, very small, round","eF, vS, R"
103,NGC103,NGC103,,,,7,,OCL,OCL,II2p,ÏÉºó×ù,CAS,0h25m17.3s,0.421472222,+61h19m19s,61.32194444,9.8,99,99,99,5,,,"a cluster, pretty small, pretty compressed, stars from 11th to 18th magnitude","Cl, pS, pC, st 11¡­18"
